Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
Ürün elime çabuk ulaştı. Bundan dolayı teşekkür ederim. Fiyatına göre malzeme kalitesi çok iyi. Saçları çok kısa kestiren biri olarak benim için iyi oldu. Sakal traşı için uygun değil ama,2,ürün elime çabuk ulaştı. bundan dolayı teşekkür ederim. fiyatına göre malzeme kalitesi çok iyi. saçları çok kısa kestiren biri olarak benim için iyi oldu. sakal traşı için uygun değil ama,ürün elime çabuk ulaştı. bundan dolayı teşekkür ederim. fiyatına göre malzeme kalitesi çok iyi. saçları çok kısa kestiren biri olarak benim için iyi oldu. sakal traşı için uygun değil ama,"['ürün', 'elime', 'çabuk', 'ulaştı', 'bundan', 'dolayı', 'teşekkür', 'ederim', 'fiyatına', 'göre', 'malzeme', 'kalitesi', 'çok', 'iyi', 'saçları', 'çok', 'kısa', 'kestiren', 'biri', 'olarak', 'benim', 'için', 'iyi', 'oldu', 'sakal', 'traşı', 'için', 'uygun', 'değil', 'ama']","['ürün', 'elime', 'çabuk', 'ulaştı', 'bundan', 'dolayı', 'teşekkür', 'ederim', 'fiyatına', 'göre', 'malzeme', 'kalitesi', 'iyi', 'saçları', 'kısa', 'kestiren', 'olarak', 'benim', 'iyi', 'oldu', 'sakal', 'traşı', 'uygun', 'değil']","['ürün', 'elim', 'çabuk', 'ulaş', 'bun', 'dolayı', 'teşekkür', 'eder', 'fiyat', 'göre', 'malzeme', 'kalite', 'iyi', 'saç', 'kısa', 'kestiren', 'olarak', 'ben', 'iyi', 'oldu', 'sakal', '', 'uygun', 'değil']","['ürün', 'elim', 'çabuk', 'ulaş', 'bun', 'dolayı', 'teşekkür', 'eder', 'fiyat', 'göre', 'malzem', 'kalit', 'iyi', 'saç', 'kısa', 'kestiren', 'olarak', 'ben', 'iyi', 'oldu', 'sakal', '', 'uygun', 'değil']"
2. sini aldık ürünü beğendiğimiz için,1,2. sini aldık ürünü beğendiğimiz için,2. sini aldık ürünü beğendiğimiz için,"['sini', 'aldık', 'ürünü', 'beğendiğimiz', 'için']","['sini', 'aldık', 'ürünü', 'beğendiğimiz']","['sini', 'al', 'ürün', 'beğendik']","['sini', 'al', 'ürün', 'beğendik']"
Ürünü berberim kullanıyordu sürekli aynı markayı kullanığı için aldım fiyatıylada harika ürün,1,ürünü berberim kullanıyordu sürekli aynı markayı kullanığı için aldım fiyatıylada harika ürün,ürünü berberim kullanıyordu sürekli aynı markayı kullanığı için aldım fiyatıylada harika ürün,"['ürünü', 'berberim', 'kullanıyordu', 'sürekli', 'aynı', 'markayı', 'kullanığı', 'için', 'aldım', 'fiyatıylada', 'harika', 'ürün']","['ürünü', 'berberim', 'kullanıyordu', 'sürekli', 'aynı', 'markayı', 'kullanığı', 'aldım', 'fiyatıylada', 'harika', 'ürün']","['ürün', 'berber', 'kullan', 'sürekli', 'aynı', 'marka', 'kullanığ', 'al', '', 'harika', 'ürün']","['ürün', 'berber', 'kullan', 'sürekli', 'aynı', 'marka', 'kullanığ', 'al', '', 'harika', 'ürün']"
ürün çok güzel ne gördüysem aynisi geldi teşekürler,1,ürün çok güzel ne gördüysem aynisi geldi teşekürler,ürün çok güzel ne gördüysem aynisi geldi teşekürler,"['ürün', 'çok', 'güzel', 'ne', 'gördüysem', 'aynisi', 'geldi', 'teşekürler']","['ürün', 'güzel', 'gördüysem', 'aynisi', 'geldi', 'teşekürler']","['ürün', 'güzel', 'gör', 'ayni', 'gel', '']","['ürün', 'güzel', 'gör', 'ayni', 'gel', '']"
hayır beğenmedim,0,hayır beğenmedim,hayır beğenmedim,"['hayır', 'beğenmedim']","['hayır', 'beğenmedim']","['hayır', 'beğen']","['hayır', 'beğen']"
Cihaz gayet kullanışlı ve kaliteli ense kıllarını güzel alıyor tavsiye ederim,1,cihaz gayet kullanışlı ve kaliteli ense kıllarını güzel alıyor tavsiye ederim,cihaz gayet kullanışlı ve kaliteli ense kıllarını güzel alıyor tavsiye ederim,"['cihaz', 'gayet', 'kullanışlı', 've', 'kaliteli', 'ense', 'kıllarını', 'güzel', 'alıyor', 'tavsiye', 'ederim']","['cihaz', 'gayet', 'kullanışlı', 'kaliteli', 'ense', 'kıllarını', 'güzel', 'alıyor', 'tavsiye', 'ederim']","['cihaz', 'gayet', 'kullanışlı', 'kaliteli', 'ense', 'kıl', 'güzel', 'al', 'tavsiye', 'eder']","['cihaz', 'gayet', 'kullanışlı', 'kalit', 'ens', 'kıl', 'güzel', 'al', 'tavsiy', 'eder']"
Gayet guzel kibar tasarlanmis sıkıntı yok memnun oldum teşekkür ediyorum,1,gayet guzel kibar tasarlanmis sıkıntı yok memnun oldum teşekkür ediyorum,gayet guzel kibar tasarlanmis sıkıntı yok memnun oldum teşekkür ediyorum,"['gayet', 'guzel', 'kibar', 'tasarlanmis', 'sıkıntı', 'yok', 'memnun', 'oldum', 'teşekkür', 'ediyorum']","['gayet', 'guzel', 'kibar', 'tasarlanmis', 'sıkıntı', 'yok', 'memnun', 'oldum', 'teşekkür', 'ediyorum']","['gayet', '', 'kibar', '', 'sıkıntı', 'yok', 'memnun', 'oldu', 'teşekkür', 'et']","['gayet', '', 'kibar', '', 'sıkıntı', 'yok', 'memnun', 'oldu', 'teşekkür', 'et']"
"beklentiyi çok yüksek tutmayın,sert sakallarda biraz zorlanıyor,fiyatına göre fena sayılmaz",0,"beklentiyi çok yüksek tutmayın,sert sakallarda biraz zorlanıyor,fiyatına göre fena sayılmaz","beklentiyi çok yüksek tutmayın,sert sakallarda biraz zorlanıyor,fiyatına göre fena sayılmaz","['beklentiyi', 'çok', 'yüksek', 'tutmayınsert', 'sakallarda', 'biraz', 'zorlanıyorfiyatına', 'göre', 'fena', 'sayılmaz']","['beklentiyi', 'yüksek', 'tutmayınsert', 'sakallarda', 'biraz', 'zorlanıyorfiyatına', 'göre', 'fena', 'sayılmaz']","['beklenti', 'yüksek', '', 'sakal', 'biraz', '', 'göre', 'fena', 'sayıl']","['beklenti', 'yüksek', '', 'sakal', 'biraz', '', 'göre', 'fena', 'sayıl']"
Ürün gayet başarılı şarjı beklediğimden de uzun gidiyor. Traj olurken herhangi bir tahriş ve ya başka bir soruna ratlamadım henüz. Bıçak kaliteside başarılı.,1,ürün gayet başarılı şarjı beklediğimden de uzun gidiyor. traj olurken herhangi bir tahriş ve ya başka bir soruna ratlamadım henüz. bıçak kaliteside başarılı.,ürün gayet başarılı şarjı beklediğimden de uzun gidiyor. traj olurken herhangi bir tahriş ve ya başka bir soruna ratlamadım henüz. bıçak kaliteside başarılı.,"['ürün', 'gayet', 'başarılı', 'şarjı', 'beklediğimden', 'de', 'uzun', 'gidiyor', 'traj', 'olurken', 'herhangi', 'bir', 'tahriş', 've', 'ya', 'başka', 'bir', 'soruna', 'ratlamadım', 'henüz', 'bıçak', 'kaliteside', 'başarılı']","['ürün', 'gayet', 'başarılı', 'şarjı', 'beklediğimden', 'uzun', 'gidiyor', 'traj', 'olurken', 'herhangi', 'bir', 'tahriş', 'başka', 'bir', 'soruna', 'ratlamadım', 'henüz', 'bıçak', 'kaliteside', 'başarılı']","['ürün', 'gayet', 'başarılı', 'şarj', 'bekledik', 'uzun', 'git', '', 'olur', 'herhangi', 'bir', 'tahriş', 'başka', 'bir', 'sorun', '', 'henüz', 'bıçak', '', 'başarılı']","['ürün', 'gayet', 'başarılı', 'şarj', 'bekledik', 'uzun', 'git', '', 'olur', 'herhangi', 'bir', 'tahriş', 'başka', 'bir', 'sorun', '', 'henüz', 'bıçak', '', 'başarılı']"
"sakalı sıfıra yakın kesebiliyor. aşağı yukarı yarım günlük tıraşmış gibi bir görüntü oluyor. kutu içeriğinde 1mm, 2mm ve 3mm (= 1 numara) başlık çıkıyor. belki 2 numara başlık da olsa iyi olurdu ama sakal için gayet yeterli bir set. ilk kullanımda cildimin bazı bölgelerini tahriş etti gibi ama benim bu makineye amatörlüğümden olabilir. genel olarak ürünü beğendim. teşekkürler",2,"sakalı sıfıra yakın kesebiliyor. aşağı yukarı yarım günlük tıraşmış gibi bir görüntü oluyor. kutu içeriğinde 1mm, 2mm ve 3mm (= 1 numara) başlık çıkıyor. belki 2 numara başlık da olsa iyi olurdu ama sakal için gayet yeterli bir set. ilk kullanımda cildimin bazı bölgelerini tahriş etti gibi ama benim bu makineye amatörlüğümden olabilir. genel olarak ürünü beğendim. teşekkürler","sakalı sıfıra yakın kesebiliyor. aşağı yukarı yarım günlük tıraşmış gibi bir görüntü oluyor. kutu içeriğinde 1mm, 2mm ve 3mm (= 1 numara) başlık çıkıyor. belki 2 numara başlık da olsa iyi olurdu ama sakal için gayet yeterli bir set. ilk kullanımda cildimin bazı bölgelerini tahriş etti gibi ama benim bu makineye amatörlüğümden olabilir. genel olarak ürünü beğendim. teşekkürler","['sakalı', 'sıfıra', 'yakın', 'kesebiliyor', 'aşağı', 'yukarı', 'yarım', 'günlük', 'tıraşmış', 'gibi', 'bir', 'görüntü', 'oluyor', 'kutu', 'içeriğinde', 'mm', 'mm', 've', 'mm', 'numara', 'başlık', 'çıkıyor', 'belki', 'numara', 'başlık', 'da', 'olsa', 'iyi', 'olurdu', 'ama', 'sakal', 'için', 'gayet', 'yeterli', 'bir', 'set', 'ilk', 'kullanımda', 'cildimin', 'bazı', 'bölgelerini', 'tahriş', 'etti', 'gibi', 'ama', 'benim', 'bu', 'makineye', 'amatörlüğümden', 'olabilir', 'genel', 'olarak', 'ürünü', 'beğendim', 'teşekkürler']","['sakalı', 'sıfıra', 'yakın', 'kesebiliyor', 'aşağı', 'yukarı', 'yarım', 'günlük', 'tıraşmış', 'bir', 'görüntü', 'oluyor', 'kutu', 'içeriğinde', 'mm', 'mm', 'mm', 'numara', 'başlık', 'çıkıyor', 'numara', 'başlık', 'olsa', 'iyi', 'olurdu', 'sakal', 'gayet', 'yeterli', 'bir', 'set', 'ilk', 'kullanımda', 'cildimin', 'bölgelerini', 'tahriş', 'etti', 'benim', 'makineye', 'amatörlüğümden', 'olabilir', 'genel', 'olarak', 'ürünü', 'beğendim', 'teşekkürler']","['sakalı', 'sıfır', 'yak', 'kesebil', 'aşağı', 'yukarı', 'yarım', 'günlük', 'tıraş', 'bir', 'görüntü', 'ol', 'kutu', 'içeriğ', '', '', '', 'numara', 'başlık', 'çık', 'numara', 'başlık', 'ol', 'iyi', 'olur', 'sakal', 'gayet', 'yeterli', 'bir', 'set', 'ilk', 'kullanım', 'cilt', 'bölge', 'tahriş', 'et', 'ben', 'makine', 'amatörlük', 'olabilir', 'genel', 'olarak', 'ürün', 'beğen', 'teşekkür']","['sakalı', 'sıfır', 'yak', 'kesebil', 'aşağı', 'yukarı', 'yarım', 'günlük', 'tıraş', 'bir', 'görüntü', 'ol', 'kutu', 'içeriğ', '', '', '', 'numara', 'başlık', 'çık', 'numara', 'başlık', 'ol', 'iyi', 'olur', 'sakal', 'gayet', 'yeterli', 'bir', 'set', 'ilk', 'kullanım', 'cilt', 'bölge', 'tahriş', 'et', 'ben', 'makin', 'amatörlük', 'olabilir', 'genel', 'olarak', 'ürün', 'beğen', 'teşekkür']"
Ürün resimde göründüğü gibi değil asla elde hantallık yapmıyor çok kibar keskinliği yeterli bakımları yapıldığı sürece uzun yıllar kullanılabilir kuaförümde aynından kullanıyor bu yuzden aldım,1,ürün resimde göründüğü gibi değil asla elde hantallık yapmıyor çok kibar keskinliği yeterli bakımları yapıldığı sürece uzun yıllar kullanılabilir kuaförümde aynından kullanıyor bu yuzden aldım,ürün resimde göründüğü gibi değil asla elde hantallık yapmıyor çok kibar keskinliği yeterli bakımları yapıldığı sürece uzun yıllar kullanılabilir kuaförümde aynından kullanıyor bu yuzden aldım,"['ürün', 'resimde', 'göründüğü', 'gibi', 'değil', 'asla', 'elde', 'hantallık', 'yapmıyor', 'çok', 'kibar', 'keskinliği', 'yeterli', 'bakımları', 'yapıldığı', 'sürece', 'uzun', 'yıllar', 'kullanılabilir', 'kuaförümde', 'aynından', 'kullanıyor', 'bu', 'yuzden', 'aldım']","['ürün', 'resimde', 'göründüğü', 'değil', 'asla', 'elde', 'hantallık', 'yapmıyor', 'kibar', 'keskinliği', 'yeterli', 'bakımları', 'yapıldığı', 'sürece', 'uzun', 'yıllar', 'kullanılabilir', 'kuaförümde', 'aynından', 'kullanıyor', 'yuzden', 'aldım']","['ürün', 'resim', 'göründük', 'değil', 'asla', 'elde', 'hantallık', 'yap', 'kibar', 'keskinlik', 'yeterli', 'bakım', 'yapıldık', 'süreç', 'uzun', 'yıl', 'kullanılabil', 'kuaför', 'aynı', 'kullan', '', 'al']","['ürün', 'resim', 'göründük', 'değil', 'asla', 'eld', 'hantallık', 'yap', 'kibar', 'keskinlik', 'yeterli', 'bakım', 'yapıldık', 'süreç', 'uzun', 'yıl', 'kullanılabil', 'kuaför', 'aynı', 'kullan', '', 'al']"
sakali tersden almaya calisirsaniz kesiyor onun disinda iyi,2,sakali tersden almaya calisirsaniz kesiyor onun disinda iyi,sakali tersden almaya calisirsaniz kesiyor onun disinda iyi,"['sakali', 'tersden', 'almaya', 'calisirsaniz', 'kesiyor', 'onun', 'disinda', 'iyi']","['sakali', 'tersden', 'almaya', 'calisirsaniz', 'kesiyor', 'onun', 'disinda', 'iyi']","['', 'tersden', 'al', '', 'kes', 'on', '', 'iyi']","['', 'tersden', 'al', '', 'ke', 'on', '', 'iyi']"
Arkadaşlar kutunun içinde 3 farklı başlık 5v-600ma şarj aleti temizleme fırçası ve bakım yağı var. Tamamen şarj edip yağ damlattıktan sonra kullanımı güzel. Çok yoğun sakalda çok nadir çekiyor ama fiyatına göre mükemmel bir ürün tavsiye ediyorum. Dizaynı ve kullanım açısından tatmin ediyor.,2,arkadaşlar kutunun içinde 3 farklı başlık 5v-600ma şarj aleti temizleme fırçası ve bakım yağı var. tamamen şarj edip yağ damlattıktan sonra kullanımı güzel. çok yoğun sakalda çok nadir çekiyor ama fiyatına göre mükemmel bir ürün tavsiye ediyorum. dizaynı ve kullanım açısından tatmin ediyor.,arkadaşlar kutunun içinde 3 farklı başlık 5v-600ma şarj aleti temizleme fırçası ve bakım yağı var. tamamen şarj edip yağ damlattıktan sonra kullanımı güzel. çok yoğun sakalda çok nadir çekiyor ama fiyatına göre mükemmel bir ürün tavsiye ediyorum. dizaynı ve kullanım açısından tatmin ediyor.,"['arkadaşlar', 'kutunun', 'içinde', 'farklı', 'başlık', 'vma', 'şarj', 'aleti', 'temizleme', 'fırçası', 've', 'bakım', 'yağı', 'var', 'tamamen', 'şarj', 'edip', 'yağ', 'damlattıktan', 'sonra', 'kullanımı', 'güzel', 'çok', 'yoğun', 'sakalda', 'çok', 'nadir', 'çekiyor', 'ama', 'fiyatına', 'göre', 'mükemmel', 'bir', 'ürün', 'tavsiye', 'ediyorum', 'dizaynı', 've', 'kullanım', 'açısından', 'tatmin', 'ediyor']","['arkadaşlar', 'kutunun', 'içinde', 'farklı', 'başlık', 'vma', 'şarj', 'aleti', 'temizleme', 'fırçası', 'bakım', 'yağı', 'var', 'tamamen', 'şarj', 'edip', 'yağ', 'damlattıktan', 'sonra', 'kullanımı', 'güzel', 'yoğun', 'sakalda', 'nadir', 'çekiyor', 'fiyatına', 'göre', 'mükemmel', 'bir', 'ürün', 'tavsiye', 'ediyorum', 'dizaynı', 'kullanım', 'açısından', 'tatmin', 'ediyor']","['arkadaş', 'kutu', 'içinde', 'farklı', 'başlık', '', 'şarj', 'alet', 'temizle', 'fırça', 'bakım', 'yağı', 'var', 'tamamen', 'şarj', 'edip', 'yağ', 'damlattık', 'sonra', 'kullanım', 'güzel', 'yoğun', 'sakal', 'nadir', 'çek', 'fiyat', 'göre', 'mükemmel', 'bir', 'ürün', 'tavsiye', 'et', 'dizayn', 'kullanım', 'açı', 'tatmin', 'et']","['arkadaş', 'kutu', 'içind', 'farklı', 'başlık', '', 'şarj', 'alet', 'temizl', 'fırça', 'bakım', 'yağı', 'var', 'tamamen', 'şarj', 'edip', 'yağ', 'damlattık', 'sonra', 'kullanım', 'güzel', 'yoğun', 'sakal', 'nadir', 'çek', 'fiyat', 'göre', 'mükemmel', 'bir', 'ürün', 'tavsiy', 'et', 'dizayn', 'kullanım', 'açı', 'tatmin', 'et']"
KESİNLİKLE ALINABİLİR ÜRÜN KULLANDIM MEMNUNUM EN BÜYÜK KESİMİ 3 NUMARA SADECE BUNA DİKKAT EDİN. DAHA UZUN KESME ŞANSINIZ YOK HARİCİ BİRŞEY KULLANMADAN. FİYAT PERFORMANS ÜRÜNÜ .,2,kesi̇nli̇kle alinabi̇li̇r ürün kullandim memnunum en büyük kesi̇mi̇ 3 numara sadece buna di̇kkat edi̇n. daha uzun kesme şansiniz yok hari̇ci̇ bi̇rşey kullanmadan. fi̇yat performans ürünü .,kesi̇nli̇kle alinabi̇li̇r ürün kullandim memnunum en büyük kesi̇mi̇ 3 numara sadece buna di̇kkat edi̇n. daha uzun kesme şansiniz yok hari̇ci̇ bi̇rşey kullanmadan. fi̇yat performans ürünü .,"['kesinlikle', 'alinabilir', 'ürün', 'kullandim', 'memnunum', 'en', 'büyük', 'kesimi', 'numara', 'sadece', 'buna', 'dikkat', 'edin', 'daha', 'uzun', 'kesme', 'şansiniz', 'yok', 'harici', 'birşey', 'kullanmadan', 'fiyat', 'performans', 'ürünü']","['kesinlikle', 'alinabilir', 'ürün', 'kullandim', 'memnunum', 'büyük', 'kesimi', 'numara', 'sadece', 'buna', 'dikkat', 'edin', 'uzun', 'kesme', 'şansiniz', 'yok', 'harici', 'kullanmadan', 'fiyat', 'performans', 'ürünü']","['kesinlik', '', 'ürün', '', 'memnun', 'büyük', 'kesim', 'numara', 'sade', 'buna', 'dikkat', 'edin', 'uzun', 'kes', '', 'yok', 'haricî', 'kullanmadan', 'fiyat', 'performans', 'ürün']","['kesinlik', '', 'ürün', '', 'memnun', 'büyük', 'kesim', 'numara', 'sade', 'buna', 'dikkat', 'edin', 'uzun', 'ke', '', 'yok', 'haricî', 'kullanmadan', 'fiyat', 'performan', 'ürün']"
Piyasadaki 2-3 kat fiyatına satılan ünlü markalardan çok daha iyi kesiyor. Tavsiye edilir.,1,piyasadaki 2-3 kat fiyatına satılan ünlü markalardan çok daha iyi kesiyor. tavsiye edilir.,piyasadaki 2-3 kat fiyatına satılan ünlü markalardan çok daha iyi kesiyor. tavsiye edilir.,"['piyasadaki', 'kat', 'fiyatına', 'satılan', 'ünlü', 'markalardan', 'çok', 'daha', 'iyi', 'kesiyor', 'tavsiye', 'edilir']","['piyasadaki', 'kat', 'fiyatına', 'satılan', 'ünlü', 'markalardan', 'iyi', 'kesiyor', 'tavsiye', 'edilir']","['piyasa', 'kat', 'fiyat', 'satılan', 'ünlü', 'marka', 'iyi', 'kes', 'tavsiye', 'edil']","['piyasa', 'kat', 'fiyat', 'satılan', 'ünlü', 'marka', 'iyi', 'ke', 'tavsiy', 'edil']"
ÜRÜN ÇOK İYİ ÇIKTI,1,ürün çok i̇yi̇ çikti,ürün çok i̇yi̇ çikti,"['ürün', 'çok', 'iyi', 'çikti']","['ürün', 'iyi', 'çikti']","['ürün', 'iyi', '']","['ürün', 'iyi', '']"
Hayır itiş eğil kimse almasın,0,hayır itiş eğil kimse almasın,hayır itiş eğil kimse almasın,"['hayır', 'itiş', 'eğil', 'kimse', 'almasın']","['hayır', 'itiş', 'eğil', 'kimse', 'almasın']","['hayır', 'itiş', 'eğil', 'kimse', 'al']","['hayır', 'itiş', 'eğil', 'kims', 'al']"
Bu zamana kadar boşuna doğru düzgün kesmeyen makine ile azap çekiyormuşum; epey sert sakalım olduğu halde 5 dakka da permatik ile traş olmuş gibi dümdüz etti?:)) Fazlası ile parasını hak eden bir Makina..,1,bu zamana kadar boşuna doğru düzgün kesmeyen makine ile azap çekiyormuşum; epey sert sakalım olduğu halde 5 dakka da permatik ile traş olmuş gibi dümdüz etti?:)) fazlası ile parasını hak eden bir makina..,bu zamana kadar boşuna doğru düzgün kesmeyen makine ile azap çekiyormuşum; epey sert sakalım olduğu halde 5 dakka da permatik ile traş olmuş gibi dümdüz etti?:)) fazlası ile parasını hak eden bir makina..,"['bu', 'zamana', 'kadar', 'boşuna', 'doğru', 'düzgün', 'kesmeyen', 'makine', 'ile', 'azap', 'çekiyormuşum', 'epey', 'sert', 'sakalım', 'olduğu', 'halde', 'dakka', 'da', 'permatik', 'ile', 'traş', 'olmuş', 'gibi', 'dümdüz', 'etti', 'fazlası', 'ile', 'parasını', 'hak', 'eden', 'bir', 'makina']","['zamana', 'kadar', 'boşuna', 'doğru', 'düzgün', 'kesmeyen', 'makine', 'azap', 'çekiyormuşum', 'epey', 'sert', 'sakalım', 'olduğu', 'halde', 'dakka', 'permatik', 'traş', 'olmuş', 'dümdüz', 'etti', 'fazlası', 'parasını', 'hak', 'eden', 'bir', 'makina']","['zaman', 'kadar', 'boşuna', 'doğru', 'düzgün', 'kesmeyen', 'makine', 'azap', 'çek', 'epey', 'sert', 'sakalı', 'olduk', 'hal', 'Dakka', '', '', 'olmuş', 'dümdüz', 'et', 'fazla', 'para', 'hak', 'ede', 'bir', '']","['zaman', 'kadar', 'boşuna', 'doğru', 'düzgün', 'kesmeyen', 'makin', 'azap', 'çek', 'epey', 'sert', 'sakalı', 'olduk', 'hal', 'dakka', '', '', 'olmuş', 'dümdüz', 'et', 'fazla', 'para', 'hak', 'ede', 'bir', '']"
Çok muhteşem herkeze tafsiye ederim senelerdir en bilinen kaliteli ürünler kullandım bu fiyata bunun gibi ürün kullanmadım hemen sakal tıraşı oldum jilet kalitesinde kesiyor çabuk şarz oluyor çok şık,1,çok muhteşem herkeze tafsiye ederim senelerdir en bilinen kaliteli ürünler kullandım bu fiyata bunun gibi ürün kullanmadım hemen sakal tıraşı oldum jilet kalitesinde kesiyor çabuk şarz oluyor çok şık,çok muhteşem herkeze tafsiye ederim senelerdir en bilinen kaliteli ürünler kullandım bu fiyata bunun gibi ürün kullanmadım hemen sakal tıraşı oldum jilet kalitesinde kesiyor çabuk şarz oluyor çok şık,"['çok', 'muhteşem', 'herkeze', 'tafsiye', 'ederim', 'senelerdir', 'en', 'bilinen', 'kaliteli', 'ürünler', 'kullandım', 'bu', 'fiyata', 'bunun', 'gibi', 'ürün', 'kullanmadım', 'hemen', 'sakal', 'tıraşı', 'oldum', 'jilet', 'kalitesinde', 'kesiyor', 'çabuk', 'şarz', 'oluyor', 'çok', 'şık']","['muhteşem', 'herkeze', 'tafsiye', 'ederim', 'senelerdir', 'bilinen', 'kaliteli', 'ürünler', 'kullandım', 'fiyata', 'bunun', 'ürün', 'kullanmadım', 'hemen', 'sakal', 'tıraşı', 'oldum', 'jilet', 'kalitesinde', 'kesiyor', 'çabuk', 'şarz', 'oluyor', 'şık']","['muhteşem', '', '', 'eder', 'sene', 'bilinen', 'kaliteli', 'ürün', 'kullan', 'fiyat', 'bun', 'ürün', 'kullan', 'hemen', 'sakal', 'tıraş', 'oldu', 'jilet', 'kalite', 'kes', 'çabuk', '', 'ol', 'şık']","['muhteşem', '', '', 'eder', 'sene', 'bilinen', 'kalit', 'ürün', 'kullan', 'fiyat', 'bun', 'ürün', 'kullan', 'hemen', 'sakal', 'tıraş', 'oldu', 'jilet', 'kalit', 'ke', 'çabuk', '', 'ol', 'şık']"
"Ürün büyük değil. görünüşü güzel fazla ses de çıkarmıyor. henüz denemedim. kargo paketi özenli değildi en azından dışına koruyucu bir şey sarılabilirdi ama zarar görmemişti. kutunun dışında herhangi bir jelatin vs yoktu, garanti belgesi imzalanmamış, açma kapama tuşunun etrafında bir jelatin vardı o da yırtıkti daha önce kullanılmış mı bilmiyorum yani. bunların dışında ürün iyi :)",2,"ürün büyük değil. görünüşü güzel fazla ses de çıkarmıyor. henüz denemedim. kargo paketi özenli değildi en azından dışına koruyucu bir şey sarılabilirdi ama zarar görmemişti. kutunun dışında herhangi bir jelatin vs yoktu, garanti belgesi imzalanmamış, açma kapama tuşunun etrafında bir jelatin vardı o da yırtıkti daha önce kullanılmış mı bilmiyorum yani. bunların dışında ürün iyi :)","ürün büyük değil. görünüşü güzel fazla ses de çıkarmıyor. henüz denemedim. kargo paketi özenli değildi en azından dışına koruyucu bir şey sarılabilirdi ama zarar görmemişti. kutunun dışında herhangi bir jelatin vs yoktu, garanti belgesi imzalanmamış, açma kapama tuşunun etrafında bir jelatin vardı o da yırtıkti daha önce kullanılmış mı bilmiyorum yani. bunların dışında ürün iyi :)","['ürün', 'büyük', 'değil', 'görünüşü', 'güzel', 'fazla', 'ses', 'de', 'çıkarmıyor', 'henüz', 'denemedim', 'kargo', 'paketi', 'özenli', 'değildi', 'en', 'azından', 'dışına', 'koruyucu', 'bir', 'şey', 'sarılabilirdi', 'ama', 'zarar', 'görmemişti', 'kutunun', 'dışında', 'herhangi', 'bir', 'jelatin', 'vs', 'yoktu', 'garanti', 'belgesi', 'imzalanmamış', 'açma', 'kapama', 'tuşunun', 'etrafında', 'bir', 'jelatin', 'vardı', 'o', 'da', 'yırtıkti', 'daha', 'önce', 'kullanılmış', 'mı', 'bilmiyorum', 'yani', 'bunların', 'dışında', 'ürün', 'iyi']","['ürün', 'büyük', 'değil', 'görünüşü', 'güzel', 'fazla', 'ses', 'çıkarmıyor', 'henüz', 'denemedim', 'kargo', 'paketi', 'özenli', 'değildi', 'azından', 'dışına', 'koruyucu', 'bir', 'sarılabilirdi', 'zarar', 'görmemişti', 'kutunun', 'dışında', 'herhangi', 'bir', 'jelatin', 'vs', 'yoktu', 'garanti', 'belgesi', 'imzalanmamış', 'açma', 'kapama', 'tuşunun', 'etrafında', 'bir', 'jelatin', 'vardı', 'yırtıkti', 'önce', 'kullanılmış', 'bilmiyorum', 'bunların', 'dışında', 'ürün', 'iyi']","['ürün', 'büyük', 'değil', 'görünüş', 'güzel', 'fazla', 'ses', 'çıkar', 'henüz', 'dene', 'kargo', 'paket', 'özenli', 'değil', 'azı', 'dış', 'koruyucu', 'bir', 'sarılabil', 'zarar', 'görmemiş', 'kutu', 'dış', 'herhangi', 'bir', 'jelatin', '', 'yoktu', 'garanti', 'belge', 'imzalan', 'aç', 'kapa', 'tuş', 'etraf', 'bir', 'jelatin', 'var', '', 'ön', 'kullanılmış', 'bil', 'bunlar', 'dış', 'ürün', 'iyi']","['ürün', 'büyük', 'değil', 'görünüş', 'güzel', 'fazla', 'se', 'çıkar', 'henüz', 'dene', 'kargo', 'paket', 'özenli', 'değil', 'azı', 'dış', 'koruyucu', 'bir', 'sarılabil', 'zarar', 'görmemiş', 'kutu', 'dış', 'herhangi', 'bir', 'jelatin', '', 'yoktu', 'garanti', 'belg', 'imzalan', 'aç', 'kapa', 'tuş', 'etraf', 'bir', 'jelatin', 'var', '', 'ön', 'kullanılmış', 'bil', 'bunlar', 'dış', 'ürün', 'iyi']"
kaliteli bir ürün tavsiye ediyorum bu fiyata daha iyisi olamaz,1,kaliteli bir ürün tavsiye ediyorum bu fiyata daha iyisi olamaz,kaliteli bir ürün tavsiye ediyorum bu fiyata daha iyisi olamaz,"['kaliteli', 'bir', 'ürün', 'tavsiye', 'ediyorum', 'bu', 'fiyata', 'daha', 'iyisi', 'olamaz']","['kaliteli', 'bir', 'ürün', 'tavsiye', 'ediyorum', 'fiyata', 'iyisi', 'olamaz']","['kaliteli', 'bir', 'ürün', 'tavsiye', 'et', 'fiyat', 'iyi', 'olamaz']","['kalit', 'bir', 'ürün', 'tavsiy', 'et', 'fiyat', 'iyi', 'olamaz']"
ürün anlatıldığı gibi güzel,1,ürün anlatıldığı gibi güzel,ürün anlatıldığı gibi güzel,"['ürün', 'anlatıldığı', 'gibi', 'güzel']","['ürün', 'anlatıldığı', 'güzel']","['ürün', 'anlatıldık', 'güzel']","['ürün', 'anlatıldık', 'güzel']"
